CustomerID,Name,Email,Country,Gender,Age,Segment,RegistrationDate
1,Patrick Sanchez,jillrhodes@example.net,France,Male,65,Regular,2022-12-20
2,Amanda Davis,williamjohnson@example.org,Netherlands,Male,32,One-Time,2020-08-14
3,Jennifer Cole,lisa02@example.net,Spain,Other,24,Discount Seeker,2023-01-05
4,Christopher Bernard,curtis61@example.com,France,Other,45,Regular,2022-01-17
5,Renee Blair,dudleynicholas@example.net,Germany,Male,23,Premium,2021-09-17
6,Lisa Hensley,janetwilliams@example.org,Italy,Male,50,Premium,2021-06-30
7,Dr. Sharon James,xreid@example.org,Germany,Other,30,Premium,2021-06-24
8,Michael Miles,lynchgeorge@example.net,Sweden,Male,46,Discount Seeker,2021-10-28
9,James Mayo,gabriellecameron@example.org,Netherlands,Male,28,Regular,2021-04-16
10,Renee Morales,clarksherri@example.net,Sweden,Female,35,Discount Seeker,2021-03-22
11,Jonathan Wilkerson,ithomas@example.org,Spain,Male,39,Premium,2021-08-02
12,Nicole Patterson,icox@example.net,France,Male,42,One-Time,2022-08-21
13,Anthony Rodriguez,laurahenderson@example.org,France,Female,40,Discount Seeker,2022-05-07
14,Zachary Rice,frazierdanny@example.net,Netherlands,Male,64,Regular,2021-11-19
15,Gina Carter,shawnmckay@example.net,Belgium,Other,25,Premium,2021-05-20
16,Pamela Romero,harrellkenneth@example.net,Sweden,Male,53,Premium,2021-05-15
17,Brittany Farmer,georgetracy@example.org,Netherlands,Other,57,Regular,2022-05-29
18,Sandra Parker,allenashley@example.org,Poland,Other,30,Regular,2021-10-16
19,Rose Spence,davidalvarez@example.net,France,Male,60,Regular,2020-08-12
20,Shane Henderson,sarahcampos@example.net,Italy,Female,23,Regular,2020-12-13
21,Jennifer Powers,samuel87@example.org,Italy,Male,42,Regular,2021-02-07
22,George Chapman,briannasmith@example.net,Netherlands,Female,58,Premium,2021-04-21
23,Austin Johnson,chad34@example.net,Poland,Male,41,Regular,2022-12-07
24,Carlos Walls,esanchez@example.com,Poland,Male,60,Regular,2022-04-25
25,Matthew Gomez,uowens@example.org,Netherlands,Other,61,Regular,2021-01-21
26,Maria Brown,lauren13@example.org,France,Other,58,Discount Seeker,2023-02-11
27,Brenda White,ewright@example.com,Spain,Other,64,Premium,2021-01-21
28,Matthew Fernandez,novaksara@example.org,Italy,Male,47,Regular,2022-08-03
29,John Hancock,martinaaron@example.com,Sweden,Female,58,Regular,2020-12-15
30,Rachel Mitchell,smoore@example.org,Italy,Other,38,Premium,2021-05-17
31,Kimberly Adkins,williamsthomas@example.net,Germany,Male,20,Regular,2020-06-30
32,Jordan York,larsonemma@example.org,Poland,Female,35,Premium,2020-12-01
33,Steve Sanchez,harveyrobert@example.net,France,Male,54,Premium,2021-12-19
34,Taylor Harris,john62@example.net,Poland,Male,59,One-Time,2022-08-27
35,Eugene Walton,smithchristine@example.net,Belgium,Female,59,One-Time,2022-12-29
36,Daniel Baker,nicole35@example.com,Belgium,Male,34,Discount Seeker,2020-09-03
37,Joshua Turner,contrerasangela@example.net,Spain,Male,65,Regular,2020-12-02
38,Brandy Wilson,newtoneric@example.com,Netherlands,Other,55,Premium,2020-09-08
39,Grant Watts,william40@example.org,Sweden,Other,43,Regular,2022-10-27
40,Donald Smith,danagreen@example.net,Poland,Male,26,Regular,2022-12-12
41,Jessica Smith,landryhannah@example.org,Belgium,Male,21,Premium,2022-02-16
42,Jacob Tran,tanderson@example.com,France,Male,58,Regular,2022-07-27
43,Christine Wright,gomezanita@example.com,Spain,Other,45,Premium,2020-06-01
44,Tammy Young,theresacochran@example.com,France,Female,42,One-Time,2022-11-21
45,Tim Patton,vpham@example.org,Belgium,Other,34,Regular,2020-05-09
46,Michael Reyes,garrisonjeffrey@example.com,Germany,Other,64,Regular,2021-05-20
47,Robert Perez,kellerraymond@example.com,France,Other,52,Regular,2021-09-26
48,Diana May,ifrazier@example.com,Netherlands,Other,39,Regular,2020-07-17
49,Wesley White,benjamin96@example.com,France,Female,45,Regular,2020-05-13
50,William Wilson,jonathanfletcher@example.org,Spain,Female,18,Premium,2021-08-01
51,Kimberly Ball,michaeljones@example.net,Netherlands,Other,29,One-Time,2022-06-17
52,Mary Martinez,william65@example.com,France,Other,37,Discount Seeker,2021-08-26
53,Cameron Fisher,lbyrd@example.net,Italy,Male,41,One-Time,2023-03-20
54,Joshua Smith,jason99@example.net,Spain,Other,51,Discount Seeker,2022-09-02
55,Jeremy Lewis,yleon@example.net,Germany,Other,38,Regular,2021-08-14
56,Diane Beck,clarence34@example.org,Belgium,Male,25,One-Time,2020-12-20
57,Angel Riggs,gibsonolivia@example.net,Poland,Female,33,Premium,2021-02-04
58,Janet Ross,dianasmith@example.org,Germany,Male,54,Premium,2021-01-28
59,Robert Dominguez,pwilliams@example.org,France,Male,64,Premium,2022-01-21
60,John Schmidt,stephanie79@example.net,Belgium,Male,52,Regular,2022-03-11
61,Terry Griffin,juliawells@example.com,Spain,Male,60,Regular,2022-05-25
62,Destiny Strickland,rsims@example.com,Belgium,Other,28,Regular,2021-04-20
63,Cynthia Rogers,taylorjesse@example.net,Netherlands,Other,56,Discount Seeker,2020-07-30
64,Amy Russell,nperry@example.com,Sweden,Male,52,Regular,2020-11-24
65,Lauren Dominguez,wwoods@example.com,Italy,Other,37,Regular,2021-11-27
66,Tiffany Barnes,tracynelson@example.com,Sweden,Other,59,Regular,2021-11-27
67,Michael Yates,marycalhoun@example.net,Poland,Female,51,Premium,2020-05-16
68,James Elliott,millerroy@example.com,Belgium,Male,33,Discount Seeker,2022-07-09
69,James Lewis,matthew64@example.com,Italy,Male,39,Premium,2021-01-08
70,Julie Curry,cookemichael@example.net,Germany,Other,53,One-Time,2021-04-27
71,Marissa Webster,jamessmith@example.org,Italy,Other,32,Discount Seeker,2020-07-16
72,Michael Elliott,stevenscott@example.com,Germany,Male,63,Premium,2021-04-06
73,Tracey Higgins,tamirodriguez@example.org,Germany,Male,22,Premium,2020-12-17
74,Susan Brooks,charlesvaughn@example.net,Germany,Female,22,Discount Seeker,2021-07-29
75,Raymond Jefferson,hoganashlee@example.org,Italy,Female,60,Discount Seeker,2021-04-13
76,Mary Jones,alexander67@example.org,Belgium,Male,52,Discount Seeker,2021-09-22
77,Madison Poole,ryangross@example.net,Spain,Other,54,Discount Seeker,2022-02-03
78,Tamara Hampton,ugraham@example.net,Belgium,Male,48,Premium,2021-05-25
79,David Michael,nicole37@example.net,Sweden,Male,24,Regular,2021-05-22
80,Gabrielle Snyder,hunter35@example.com,France,Other,45,Premium,2022-11-05
81,Kyle Beard,blackjames@example.org,Poland,Female,44,Discount Seeker,2021-09-11
82,Peter Vaughn DDS,bwest@example.org,Belgium,Other,21,Regular,2021-12-23
83,Michael Torres,thomas85@example.com,France,Male,43,Regular,2021-07-02
84,Michael Nelson,jerry35@example.org,Poland,Male,33,Premium,2022-08-03
85,Melissa Lee,lhill@example.net,Italy,Male,52,Regular,2022-07-12
86,Brian Lee,michaelturner@example.net,Belgium,Male,45,Regular,2022-10-15
87,Angel Brown,heidi27@example.org,Spain,Female,47,Discount Seeker,2022-07-09
88,Julie Alexander,tammyking@example.com,Italy,Male,46,Regular,2020-04-20
89,Jennifer Jones,hernandezlisa@example.com,France,Male,59,Discount Seeker,2020-09-25
90,Bailey Duran DDS,kimberlyjames@example.com,Germany,Male,33,Regular,2020-08-11
91,Wanda Torres,lynchjody@example.org,Spain,Female,49,Premium,2021-07-06
92,Matthew Moore,andreamoore@example.com,Belgium,Male,43,Discount Seeker,2022-11-28
93,Julie Johnson,jasmine71@example.net,Germany,Male,42,Discount Seeker,2022-03-01
94,Rachel Weber,ronaldstephens@example.net,Germany,Female,34,Regular,2021-03-29
95,Samantha Jones,lauralarson@example.net,Belgium,Female,45,Discount Seeker,2020-11-18
96,John Torres,gbender@example.net,Belgium,Male,30,Regular,2021-06-23
97,Kyle Preston,cassandra01@example.org,Netherlands,Male,21,Regular,2022-05-08
98,Laura Sampson,barbara27@example.net,Germany,Other,38,Regular,2023-02-12
99,Donald Shea,fwalters@example.org,Germany,Male,55,Premium,2023-01-08
100,Gary Santiago,marksteele@example.com,Belgium,Other,51,Premium,2022-04-01
101,Robin Pierce,qmiller@example.com,Spain,Male,50,Premium,2023-01-25
102,Jennifer Robertson,sandovalamy@example.com,France,Male,22,Regular,2020-09-28
103,Isaiah Avila,nwolf@example.com,France,Other,33,Regular,2020-06-24
104,Dwayne Gilmore,omartinez@example.net,Sweden,Male,54,Regular,2022-08-02
105,Emily Smith,hdavis@example.com,Italy,Other,56,One-Time,2021-04-07
106,Brittany Cantu,william46@example.com,Germany,Other,23,Regular,2020-09-30
107,Juan Reyes,michellehill@example.com,Sweden,Other,55,Regular,2022-04-04
108,Katie Hoover,jessica99@example.net,Poland,Female,31,Discount Seeker,2021-09-10
109,Jill Washington,andrea86@example.com,Poland,Male,34,Regular,2022-05-01
110,Veronica Allen,xhall@example.com,Sweden,Male,60,Premium,2021-08-13
111,John Mcintyre,qhughes@example.net,Netherlands,Female,38,Regular,2020-06-07
112,Andrew Shaw MD,sawyerscott@example.net,France,Male,47,Premium,2020-11-23
113,Charles Pitts,charlesharrington@example.com,France,Male,52,One-Time,2022-03-11
114,Jennifer Miller,melissa86@example.com,Italy,Other,34,Discount Seeker,2021-09-08
115,Olivia Brennan,williamsonjimmy@example.net,Spain,Female,22,Regular,2022-11-30
116,Nicole Hamilton MD,wallaceheather@example.org,Italy,Female,36,Discount Seeker,2021-06-21
117,Anthony Howard,hthomas@example.com,Spain,Female,52,Discount Seeker,2020-06-11
118,Catherine Thompson,pharvey@example.com,Netherlands,Other,59,Premium,2022-08-28
119,Joel King,elizabeth74@example.net,Germany,Other,53,Discount Seeker,2022-09-23
120,Jeremy Reed,danielle64@example.com,Netherlands,Other,24,Regular,2022-07-29
121,James Webb,patrickhoward@example.com,Spain,Female,25,Discount Seeker,2021-07-14
122,William Barrett,alan09@example.net,France,Other,53,Discount Seeker,2023-03-23
123,Stephanie Parsons,catherinegomez@example.net,Spain,Female,36,Regular,2022-05-12
124,Megan Le,courtneyberger@example.net,Italy,Other,39,Premium,2021-01-21
125,Jeremiah Riley,christopherphillips@example.net,Italy,Other,58,Regular,2020-06-01
126,Carlos Ryan,alyssa42@example.com,Netherlands,Other,49,Regular,2022-01-06
127,Elizabeth Harrell,mcdonaldcharles@example.org,Netherlands,Male,23,Discount Seeker,2022-04-19
128,Veronica Coffey,christopher60@example.com,Sweden,Female,20,Discount Seeker,2023-02-15
129,Jacob Curry,brenda51@example.net,Germany,Female,26,Premium,2022-07-13
130,Manuel Hahn,rose31@example.net,Netherlands,Male,65,Regular,2021-03-30
131,Elizabeth Ortiz,brandonjohnson@example.com,Belgium,Other,63,Regular,2022-03-23
132,Stephen Taylor,vwatson@example.net,Sweden,Other,18,Regular,2020-09-28
133,Patrick Moore,fpena@example.net,France,Male,62,Premium,2022-07-19
134,Diana Vaughn,scottsampson@example.com,Spain,Other,20,Regular,2021-12-25
135,Mrs. Stephanie Newman,sandersjames@example.org,Poland,Other,53,One-Time,2020-09-02
136,Daniel Fowler,williamsmatthew@example.org,Spain,Female,26,Regular,2022-03-08
137,Ronald Spencer,lisahall@example.org,Germany,Female,41,Regular,2022-08-26
138,Scott Thomas,amberlindsey@example.org,Germany,Female,31,Discount Seeker,2022-10-13
139,Bonnie Howard,briannasmith@example.com,Italy,Other,24,Regular,2023-01-22
140,Jason Wilson,alvarezkimberly@example.net,Poland,Other,44,One-Time,2020-06-21
